年度學期,星期,小時,時間區間,平均功率_kW
114-1,星期五,17,17:00~18:00,164.0246666666667
114-1,星期五,18,18:00~19:00,133.35142857142858
114-1,星期五,19,19:00~20:00,103.34285714285716
114-1,星期五,20,20:00~21:00,94.18533333333332
114-1,星期五,21,21:00~22:00,82.88733333333333
114-1,星期五,22,22:00~23:00,55.772000000000006
114-1,星期五,23,23:00~24:00,51.18714285714286
114-1,星期六,0,00:00~01:00,49.22384615384614
114-1,星期六,1,01:00~02:00,47.10153846153845
114-1,星期六,2,02:00~03:00,45.468333333333334
114-1,星期六,3,03:00~04:00,46.028333333333336
114-1,星期六,4,04:00~05:00,46.33769230769231
114-1,星期六,5,05:00~06:00,48.13307692307693
114-1,星期六,6,06:00~07:00,44.374615384615396
114-1,星期六,7,07:00~08:00,76.255
114-1,星期六,8,08:00~09:00,109.86928571428571
114-1,星期六,9,09:00~10:00,125.47714285714282
114-1,星期六,10,10:00~11:00,123.54142857142857
114-1,星期六,11,11:00~12:00,118.91384615384612
114-1,星期六,12,12:00~13:00,123.69769230769232
114-1,星期六,13,13:00~14:00,118.71384615384615
114-1,星期六,14,14:00~15:00,130.81384615384616
114-1,星期六,15,15:00~16:00,116.875
114-1,星期六,16,16:00~17:00,112.99666666666668
114-1,星期六,17,17:00~18:00,107.0185714285714
114-1,星期六,18,18:00~19:00,82.03384615384616
114-1,星期六,19,19:00~20:00,79.8323076923077
114-1,星期六,20,20:00~21:00,68.78714285714285
114-1,星期六,21,21:00~22:00,60.98642857142857
114-1,星期六,22,22:00~23:00,50.94285714285714
114-1,星期六,23,23:00~24:00,48.57642857142857
114-1,星期日,0,00:00~01:00,47.99076923076923
114-1,星期日,1,01:00~02:00,44.24923076923077
114-1,星期日,2,02:00~03:00,42.076153846153844
114-1,星期日,3,03:00~04:00,41.92285714285713
114-1,星期日,4,04:00~05:00,44.23615384615385
114-1,星期日,5,05:00~06:00,44.99461538461538
114-1,星期日,6,06:00~07:00,41.48384615384616
114-1,星期日,7,07:00~08:00,83.88846153846154
114-1,星期日,8,08:00~09:00,100.68357142857143
114-1,星期日,9,09:00~10:00,97.35428571428572
114-1,星期日,10,10:00~11:00,98.65642857142858
114-1,星期日,11,11:00~12:00,98.0985714285714
114-1,星期日,12,12:00~13:00,102.115
114-1,星期日,13,13:00~14:00,106.30499999999999
114-1,星期日,14,14:00~15:00,107.64857142857143
114-1,星期日,15,15:00~16:00,104.96428571428568
114-1,星期日,16,16:00~17:00,101.32857142857142
114-1,星期日,17,17:00~18:00,87.8707142857143
114-1,星期日,18,18:00~19:00,77.1842857142857
114-1,星期日,19,19:00~20:00,58.21538461538462
114-1,星期日,20,20:00~21:00,56.67846153846154
114-1,星期日,21,21:00~22:00,52.573571428571434
114-1,星期日,22,22:00~23:00,52.32153846153846
114-1,星期日,23,23:00~24:00,46.81857142857143
114-2,星期一,0,00:00~01:00,41.46857142857142
114-2,星期一,1,01:00~02:00,41.73571428571428
114-2,星期一,2,02:00~03:00,40.08428571428571
114-2,星期一,3,03:00~04:00,39.61714285714286
114-2,星期一,4,04:00~05:00,39.34571428571429
114-2,星期一,5,05:00~06:00,41.544285714285714
114-2,星期一,6,06:00~07:00,40.40428571428571
