年度學期,星期,小時,時間區間,平均功率_kW
114-1,星期二,12,12:00~13:00,150.64
114-1,星期二,13,13:00~14:00,155.31266666666667
114-1,星期二,14,14:00~15:00,156.83733333333333
114-1,星期二,15,15:00~16:00,166.346
114-1,星期二,16,16:00~17:00,156.09466666666668
114-1,星期二,17,17:00~18:00,139.5793333333333
114-1,星期二,18,18:00~19:00,107.86733333333333
114-1,星期二,19,19:00~20:00,39.91785714285714
114-1,星期二,20,20:00~21:00,35.152857142857144
114-1,星期二,21,21:00~22:00,34.627142857142864
114-1,星期二,22,22:00~23:00,35.15133333333333
114-1,星期二,23,23:00~24:00,33.73466666666667
114-1,星期三,0,00:00~01:00,33.73733333333333
114-1,星期三,1,01:00~02:00,33.46642857142858
114-1,星期三,2,02:00~03:00,32.86
114-1,星期三,3,03:00~04:00,32.020714285714284
114-1,星期三,4,04:00~05:00,37.45214285714286
114-1,星期三,5,05:00~06:00,33.255714285714284
114-1,星期三,6,06:00~07:00,33.21714285714285
114-1,星期三,7,07:00~08:00,84.82533333333332
114-1,星期三,8,08:00~09:00,101.92466666666664
114-1,星期三,9,09:00~10:00,144.4466666666667
114-1,星期三,10,10:00~11:00,156.62733333333333
114-1,星期三,11,11:00~12:00,161.8046666666666
114-1,星期三,12,12:00~13:00,164.55266666666665
114-1,星期三,13,13:00~14:00,160.3733333333333
114-1,星期三,14,14:00~15:00,169.97333333333333
114-1,星期三,15,15:00~16:00,168.6126666666666
114-1,星期三,16,16:00~17:00,165.61066666666667
114-1,星期三,17,17:00~18:00,146.882
114-1,星期三,18,18:00~19:00,116.72642857142856
114-1,星期三,19,19:00~20:00,42.73785714285715
114-1,星期三,20,20:00~21:00,36.21142857142856
114-1,星期三,21,21:00~22:00,34.58846153846154
114-1,星期三,22,22:00~23:00,37.17083333333334
114-1,星期三,23,23:00~24:00,35.22153846153845
114-1,星期四,0,00:00~01:00,34.37769230769231
114-1,星期四,1,01:00~02:00,33.559230769230766
114-1,星期四,2,02:00~03:00,34.003076923076925
114-1,星期四,3,03:00~04:00,33.66
114-1,星期四,4,04:00~05:00,38.43615384615384
114-1,星期四,5,05:00~06:00,33.25833333333333
114-1,星期四,6,06:00~07:00,33.91583333333333
114-1,星期四,7,07:00~08:00,72.96083333333333
114-1,星期四,8,08:00~09:00,106.94999999999999
114-1,星期四,9,09:00~10:00,130.46076923076924
114-1,星期四,10,10:00~11:00,141.28076923076924
114-1,星期四,11,11:00~12:00,155.0123076923077
114-1,星期四,12,12:00~13:00,149.54066666666668
114-1,星期四,13,13:00~14:00,149.402
114-1,星期四,14,14:00~15:00,148.436
114-1,星期四,15,15:00~16:00,148.79666666666665
114-1,星期四,16,16:00~17:00,139.832
114-1,星期四,17,17:00~18:00,128.41199999999998
114-1,星期四,18,18:00~19:00,115.792
114-1,星期四,19,19:00~20:00,45.73714285714285
114-1,星期四,20,20:00~21:00,38.45428571428571
114-1,星期四,21,21:00~22:00,36.520714285714284
114-1,星期四,22,22:00~23:00,34.806666666666665
114-1,星期四,23,23:00~24:00,33.754285714285714
114-1,星期五,0,00:00~01:00,34.354285714285716
114-1,星期五,1,01:00~02:00,32.965999999999994
114-1,星期五,2,02:00~03:00,34.284
114-1,星期五,3,03:00~04:00,32.99933333333333
114-1,星期五,4,04:00~05:00,37.03923076923077
114-1,星期五,5,05:00~06:00,33.223076923076924
114-1,星期五,6,06:00~07:00,34.14857142857142
114-1,星期五,7,07:00~08:00,77.48071428571428
114-1,星期五,8,08:00~09:00,90.27214285714285
114-1,星期五,9,09:00~10:00,116.63714285714285
114-1,星期五,10,10:00~11:00,128.64857142857142
114-1,星期五,11,11:00~12:00,127.41714285714285
114-1,星期五,12,12:00~13:00,125.80785714285712
114-1,星期五,13,13:00~14:00,123.96866666666665
114-1,星期五,14,14:00~15:00,128.46666666666667
114-1,星期五,15,15:00~16:00,128.18733333333336
114-1,星期五,16,16:00~17:00,112.978
114-1,星期五,17,17:00~18:00,99.798
114-1,星期五,18,18:00~19:00,70.93399999999998
114-1,星期五,19,19:00~20:00,42.22357142857142
114-1,星期五,20,20:00~21:00,39.255714285714284
114-1,星期五,21,21:00~22:00,38.11928571428571
114-1,星期五,22,22:00~23:00,34.83428571428571
114-1,星期五,23,23:00~24:00,34.042142857142856
114-1,星期六,0,00:00~01:00,33.486153846153854
114-1,星期六,1,01:00~02:00,32.934615384615384
114-1,星期六,2,02:00~03:00,32.94307692307692
114-1,星期六,3,03:00~04:00,33.049230769230775
114-1,星期六,4,04:00~05:00,34.30384615384615
114-1,星期六,5,05:00~06:00,33.30615384615384
114-1,星期六,6,06:00~07:00,32.73615384615384
114-1,星期六,7,07:00~08:00,67.23785714285715
